Reading: 501.79, Theta: 0.00, Actual Distance: 500.00
Reading: 617.00, Theta: 0.15, Actual Distance: 500.00
Reading: 539.80, Theta: 0.32, Actual Distance: 500.00
Reading: 556.14, Theta: 0.50, Actual Distance: 500.00
Reading: 538.90, Theta: 0.67, Actual Distance: 500.00
Reading: 603.04, Theta: 0.85, Actual Distance: 500.00
Reading: 518.34, Theta: 1.02, Actual Distance: 500.00
Reading: 600.77, Theta: 1.19, Actual Distance: 500.00
Reading: 516.99, Theta: 1.37, Actual Distance: 500.00
Reading: 578.48, Theta: 1.55, Actual Distance: 500.00
Reading: 518.54, Theta: 1.71, Actual Distance: 500.00
Reading: 521.16, Theta: 1.90, Actual Distance: 500.00
Reading: 501.12, Theta: 2.07, Actual Distance: 500.00
Reading: 481.53, Theta: 2.24, Actual Distance: 500.00
Reading: 517.56, Theta: 2.41, Actual Distance: 500.00
Reading: 453.25, Theta: 2.59, Actual Distance: 500.00
Reading: 517.15, Theta: 2.77, Actual Distance: 500.00
Reading: 432.22, Theta: 2.94, Actual Distance: 500.00
Reading: 514.45, Theta: 3.11, Actual Distance: 500.00
Reading: 421.39, Theta: 3.29, Actual Distance: 500.00
Reading: 435.65, Theta: 3.47, Actual Distance: 500.00
Reading: 434.74, Theta: 3.64, Actual Distance: 500.00
Reading: 435.44, Theta: 3.81, Actual Distance: 500.00
Reading: 502.00, Theta: 3.99, Actual Distance: 500.00
Reading: 404.89, Theta: 4.16, Actual Distance: 500.00
Reading: 387.12, Theta: 4.34, Actual Distance: 500.00
Reading: 420.44, Theta: 4.51, Actual Distance: 500.00
Reading: 454.44, Theta: 4.68, Actual Distance: 500.00
Reading: 436.25, Theta: 4.87, Actual Distance: 500.00
Reading: 464.40, Theta: 5.04, Actual Distance: 500.00
Reading: 503.43, Theta: 5.21, Actual Distance: 500.00
Reading: 539.85, Theta: 5.39, Actual Distance: 500.00
Reading: 538.79, Theta: 5.56, Actual Distance: 500.00
Reading: 496.18, Theta: 5.73, Actual Distance: 500.00
Reading: 592.28, Theta: 5.90, Actual Distance: 500.00
Reading: 500.72, Theta: 6.08, Actual Distance: 500.00
